1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1
1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1
1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1
1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1
1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1
1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1
4,0,0,1,1,1,0,1,6,7,9,1,0,1,1,0,1,0,0,4
1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1
1,1,0,1,1,1,0,0,0,5,0,0,0,1,0,0,1,0,1,1
1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1
1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1
1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1
1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1
1,0,1,1,0,1,0,1,1,8,1,1,1,0,1,1,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
